ID,BookID,Index,Name,vi,en
131,6,1,대한민국 및 국민의 정체성 ,Đại hàn dân quốc và bản chất công dân,The Republic of Korea and its citizenship
132,6,2,대한민국 국민의 권리 ,Quyền lợi của công dân Hàn quốc,Rights of Korean citizens
133,6,3,대한민국 국민의 의무 ,Nghĩa vụ của công dân Hàn quốc,Obligations of Korean citizens
134,6,4,대한민국 국민을위한 복지 ,Phúc lợi dành cho công dân Hàn quốc,Welfare for Korean citizens
135,6,5,대한민국 정부 수립 ,Sự thành lập chính phủ đại hàn dân quốc,The establishment of the Republic of Korea government
136,6,6,한국 전쟁과 남북 관계 ,Chiến tranh Hàn quốc và quan hệ 2 miền Nam Bắc,Korean War and the relationship between South and North
137,6,7,민주주의의 발전 ,Sự phát triển của nền dân chủ,The development of democracy
138,6,8,한국 사회의 변동 ,Những thay đổi trong xã hội hàn quốc,Changes in Korean society
139,6,9,세계 속의 대한민국,Vị thế của hàn quốc trên thế giới,The position of Korea in the world
140,6,10,대한민국의 권력 분립과 입법부 ,Sự phân chia quyền lực và ngành lập pháp ở hàn quốc,The division of power and the legislative branch in Korea
141,6,11,대한민국의 행정부와 사법부 ,Ngành hành pháp và tư pháp hàn quốc,Korean executive and judicial branches
142,6,12,대한민국의 선거와 정당 ,Việc bầu cử và các đảng chính trị ở hàn quốc,Elections and political parties in Korea
143,6,13,대한민국의 외교와 국제 사회 ,Ngoại giao hàn quốc và cộng đồng quốc tế,Korean diplomacy and the international community
144,6,14,남북 통일을위한 노력 ,Những nỗ lực nhằm thống nhất 2 miền triều tiên,Attempts to unify the two Koreas
145,6,15,대한민국의 경제 체제 ,Cấu trúc kinh tế hàn quốc,Korean economic structure
146,6,16,대한민국의 근로자 ,Công nhân ở hàn quốc,Workers in Korea
147,6,17,금융과 자산 관리 ,Quản lý tài chính và tài sản,Financial and property management
148,6,18,가족에 관한 법 ,Luật gia đình,Family law
149,6,19,범죄와 형벌에 관한 법 ,Luật về tội phạm và hình phạt,Criminal law and punishment
150,6,20,형사 사건의 해결과 인권 보호,Giải quyết một vụ phạm tội và bảo vệ nhân quyền,Solving a crime and protecting human rights
