ID,LessonID,Word,vi,en
15201,77,명소,"địa danh nổi tiếng, danh lam thắng cảnh","famous landmarks, beautiful landscapes"
15202,77,유적지,khu di tích lịch sử,historic district
15203,77,정상,"đỉnh, chỏm, chóp, ngọn","top, tip, tip, top"
15204,77,산 정상에 오르다,trèo lên đỉnh núi,Climb to the top of the mountain
15205,77,단풍을 구경하다,đi ngắm lá vàng,go and look at the yellow leaves
15206,77,캠핑을 하다,đi cắm trại ,go camping
15207,77,삼림욕을 하다,"đi dạo trong rừng, đắm mình trong thiên nhiên rừng xanh","Take a walk in the forest, immerse yourself in the green forest nature"
15208,77,계곡,"khe núi, thung lũng hẹp","ravines, narrow valleys"
15209,77,피서를 즐기다,tận hưởng mùa hè,enjoy the summer
15210,77,물놀이를 하다,Chơi các trò dưới nước,Play water games
15211,77,해수욕을 하다,tắm biển,go to the beach
15212,77,일광욕을 하다,tắm nắng,sunbathing
15213,77,모래찜질을 하다,"chườm bằng cát, tắm với cát","Apply sand, wash with sand"
15214,77,수상 레포츠를 즐기다,tận hưởng các trò chơi giải trí dưới nước,Enjoy the underwater entertainment game
15215,77,낚시를 하다,câu cá,go fishing
15216,77,해산물을 맛보다,Nếm thử hải sản,Taste seafood
15217,77,템플스테이 하다,"tham quan, nghỉ lại và trải nghiệm các hoạt động ở chùa","Visit, stay and experience the activities at the temple"
15218,77,명상을 하다,mặc tưởng,introspection
15219,77,사찰음식 맛보다,nếm thử đồ ăn chay,taste vegetarian food
15220,77,108배를 하다,lạy 108 lạy,prostration 108
15221,77,조상,tổ tiên,ancestor
15222,77,생활 모습,cách thức sinh hoạt,the way of living
15223,77,엿보다,"nghía qua, xem qua, lén xem","look over, sneak see"
15224,77,조상들의 생활 모습을 엿보다,"Nghía qua cách thức sinh sống của người xưa, tổ tiên","Think through the way of life of the ancients, ancestors"
15225,77,과거로의 시간 여행하다,du lịch về quá khứ ,travel to the past
15226,77,유물,di vật,relics
15227,77,유물을 관람하다,xem ngắm di vật,See the relics
15228,77,유적지를 방문하다,đến thăm khu di tích,Visit the ruins
15229,77,국립공원,công viên quốc gia,National Park
15230,77,섬,đảo,island
15231,77,역사 유적지,di tích lịch sử,historical sites
15232,77,항구 도시,thành phố cảng,port city
15233,77,활기가 넘치다, tràn đầy sức sống, full of life
15234,77,전통적이다,mang tính truyền thống,traditional
15235,77,고즈넉하다," tĩnh lặng, tĩnh mịch"," stillness, stillness"
15236,77,공기가 맑다,không khí trong lành,clean Air
15237,77,재래시장,truyền thống,traditional
15238,77,야시장,chợ đêm,night market
15239,77,야경,cảnh đêm,night scene
15240,77,왕릉,lăng mộ vua,king's tomb
15241,77,탑,tháp,tower
15242,77,박물관,bảo tàng,Museum
15243,77,한옥,nhà Hanok,Hanok house
15244,77,백화점,trung tâm mua sắm,mall
15245,77,해변을 산책하다,đi dạo bờ biển,walk on the beach
15246,77,바닷가에서 해수욕을 즐기다,tận hưởng tắm ở bãi biển,Enjoy bathing at the beach
15247,77,지혜,trí tuệ,wisdom
15248,77,조상들의 지혜를 엿보다,đoán biết trí tuệ của người xưa,guess the wisdom of the ancients
15249,77,올레길,con đường chạy quanh biển,Road running around the sea
15250,77,올레길을 걷다,đi bộ quanh đảo,Walk around the island
15251,77,둘레길,con đường chạy quanh núi,The road runs around the mountain
15252,77,둘레길을 걷다,đi bộ quanh núi,walk around the mountain
15253,77,전통 체험하다,trải nghiệm truyền thống,traditional experience
15254,77,동해안,bờ biển Đông,East coast
15255,77,서해안,bờ biển Tây,West coast
15256,77,남해안,bờ biển Nam,South coast
15257,77,중부,miền trung,Central
15258,77,싱싱한 해산물을 맛보다,ăn thử hải sản tươi ngon,try fresh seafood
15259,77,전통음식을 맛보다,nếm thử đồ ăn truyền thống,tasting traditional food
15260,77,가정식을 맛보다,ăn thử bữa ăn gia đình,try family meals
15261,77,길거리음식 (포장마차)을 맛보다,nếm thử món ăn đường phố,taste street food
15262,77,얼굴이 타다,mặt bị cháy nắng,sun burnt face
15263,77,팔만대장경,Bát Vạn Đại Tạng Kinh ,Bat Ten Great Tripitaka
15264,77,목판," bản khắc gỗ, khuôn in"," woodblock prints, prints"
15265,77,새기다," khắc, chạm trổ, điêu khắc","carving, sculpting, sculpture"
15266,77,오래간만,lâu rồi mới lại,long time no see
15267,77,찻소리,tiếng xe ô tô,car sounds
15268,77,벗어나다,"ra khỏi, thoái khỏi","out, quit"
15269,77,예불,"lễ Phật, việc lễ Phật","Buddha worship, Buddha worship"
15270,77,기상하다,"ngủ dậy, thức dậy","wake up, wake up"
15271,77,새벽,Bình minh,Dawn
15272,77,눈꺼풀,mí mắt,eyelid
15273,77,천근만근,sức nặng ngàn cân,weight of thousands of pounds
15274,77,눈꺼풀이 천근만근이다,mí mắt nặng trĩu,heavy eyelids
15275,77,간이 싱겁다,"nhạt, không mặn","pale, not salty"
15276,77,평화롭다,"thanh bình, bình yên",peaceful and peaceful
15277,77,마치,hệt như,just like
15278,77,석굴암,Am Seokgul,Am Seokgul
15279,77,둘러보다,nhìn quanh,look around
15280,77,건축 양식,"kiểu kiến trúc, phong cách kiến trúc","Architectural style, architectural style"
15281,77,감탄,sự cảm thán,exclamation
15282,77,절로,"một cách tự động, một cách tự dưng","automatically, automatically"
15283,77,뛰어나다,"nổi trội, nổi bật",outstanding
15284,77,조각 기술,kỹ thuật điêu khắc,sculpting techniques
15285,77,불상,tượng Phật,Buddha
15286,77,장엄함,"sự trang nghiêm, sự uy nghiêm","solemnity, solemnity"
15287,77,고개가 숙이다,cúi đầu,keep your head down
15288,77,만족스럽다,"đầy thỏa mãn, đầy mãn nguyện","full of contentment, full of contentment"
15289,77,보편적,mang tính phổ biến,popular
15290,77,가치를 지니다,mang giá trị,bring value
15291,77,등재되다,"được đăng ký, được đăng tải","be registered, be posted"
15292,77,복합,"sự tổ hợp, sự kết hợp",combination
15293,77,유산,di sản,heritage
15294,77,동굴,hang động,cave
15295,77,늪,"bãi lầy, đầm lầy",Swampy
15296,77,가치,giá trị,value
15297,77,잠정 목록,danh sách dự kiến,tentative list
