ID,LessonID,Word,vi,en
13801,70,관용표현,"Quán ngữ, Thành ngữ",idiomatic expression
13802,70,눈에 안 차다,"không vừa mắt, không hài lòng, không thỏa mãn","not like, not satisfied"
13803,70,차다,"đầy, thỏa mãn, thỏa lòng","be full, be filled"
13804,70,눈이 빠지도록 기다리다,chờ đợi đến mòn cả mắt,wait desperately to such an extent that[until] one's eyes fall out
13805,70,한눈을 팔다,"lơ đễnh, xao nhãng, không tập trung",take one`s eyes off
13806,70,눈을 붙이다,chợp mắt,"get some sleep [shut-eye], take a little nap"
13807,70,입이 짧다," khó ăn, kén ăn, biếng ăn",have a poor appetite
13808,70,얼굴이 반쪽이 되다,"trở nên tiều tụy, mặt mày hốc hác",emaciated face
13809,70,코 묻은 돈,Số tiền ít mà trẻ con có (thường do dành dụm),a child´s pocket money
13810,70,콧대를 꺾다,"làm cho ai mất tinh thần, đè bẹp ý chí của ai đó",put a person´s nose out of joint
13811,70,등을 돌리다,"ngoảnh mặt làm ngơ, quay lưng lại với ai đó",turn one´s back to[on]
13812,70,머리가 잘 돌아가다,"đầu óc nhạy bén, minh mẫn, linh hoạt, sáng suốt","be quick-witted, have brains, be sensible"
13813,70,귀에 못이 박히다,"Nghe quá nhiều lời nói nào đó, nhồi vào tai, đóng đinh vào tai","have heard sth more than enough, be sick and tired of hearing"
13814,70,배꼽이 빠지다,"cười rụng rốn, quá buồn cười",One's belly button falls out
