ID,LessonID,Word,vi,en
23601,119,호족,"hào tộc, dòng tộc giàu có",
23602,119,세력,thế lực,
23603,119,등장하다,ra đời,
23604,119,견원,Kwon Hyeon - Vua lập nên nước 후백제 (Hậu Bách Tế),
23605,119,궁예,.Gung Ye - Vua lập nên nước 후고구려 (Hậu Cao Câu Ly) (?~918) ,
23606,119,왕건,"Cao Ly Thái Tổ, tên là Vương Kiến, trị vì từ năm 918 tới năm 943. Ông là vị vua đầu tiên đã thành lập nên triều đại 구려 (Cao Ly)",
23607,119,멸망시키다,làm diệt vong,
23608,119,진정하다,"chân chính, thật sự",
23609,119,북진,sự Bắc tiến,
23610,119,추진하다,"xúc tiến, đẩy tới",
23611,119,신분,thân phận,
23612,119,장신구,đồ trang sức,
23613,119,귀족,quý tộc,
23614,119,무신,quan võ,
23615,119,권력을 잡다,"nắm quyền lực, nắm chính quyền",
23616,119,건축물,công trình kiến trúc  ,
23617,119,석탑,tháp đá ,
23618,119,문화재,"di sản văn hóa, tài sản văn hóa",
23619,119,주도하다,"chủ đạo, cổ xướng",
23620,119,팔관회,một nghi thức cúng tế hướng về các thần linh ở thời 고려,
23621,119,침략,xâm lược,
23622,119,물리치다,"đánh tan, đẩy lùi",
23623,119,넓히다,mở rộng,
23624,119,왜구,quân xâm lược Nhật ,
23625,119,홍건적,quân Khăn Đỏ,
23626,119,침입,xâm nhập,
23627,119,이성계,Lý Thành Quế - Thái tổ của Joseon,
23628,119,왕조,"vương triều, triều đại",
23629,119,화약,"thuốc nổ, thuốc súng",
23630,119,화통도감, một tổ chức chịu trách nhiệm sản xuất thuốc súng và súng được thành lập bởi  최무선,
23631,119,잦다,thường hay,
23632,119,절감하다,"thấu rõ, cảm nhận rõ",
23633,119,어렵사리,"vất vả, khó nhọc",
23634,119,염초,một loại nguyên liệu để sản xuất thuốc súng,
23635,119,화약무기,"vũ khí thuốc nổ, vũ khí thuốc súng",
23636,119,관청,"cơ quan chính phủ, sảnh đường ",
23637,119,건의하다,"kiến nghị, đề xuất",
23638,119,화포,hỏa pháo,
23639,119,척,chiếc (thuyền),
23640,119,쳐들어오다,kéo tới,
23641,119,무역항,cảng thương mại,
23642,119,드나들다,ra vào,
23643,119,공예품,hàng thủ công mỹ nghệ,
23644,119,고려청자,gốm sử xanh Cao Ly ,
23645,119,공예기술,kỹ thuật thủ công mỹ nghệ,
23646,119,고유하다,"đặc trưng, đặc thù",
23647,119,특유,"nét đặc hữu, nét đặc biệt",
23648,119,투명하다,"sáng rõ, rõ ràng, trong suốt",
23649,119,부드럽다,mềm mại,
23650,119,생동감,"sự sinh động, sự nổi trội",
23651,119,넘치다,"tràn, đầy tràn, vượt mức ",
23652,119,활자,"khuôn chữ, chữ in",
23653,119,금속,kim loại,
23654,119,활자본,bảng khắc chữ in (Sách sử dụng bản in làm bằng cách ghép các chữ in),
23655,119,인쇄술,kỹ thuật in ấn,
23656,119,목화,cây bông ,
23657,119,재배하다,"trồng trọt, canh tác",
23658,119,안타깝다,"xót thương, đau lòng",
23659,119,목화씨,hạt bông vải,
23660,119,들여오다,"mang về, cầm về",
23661,119,수차례,"nhiều lần, nhiều lượt",
23662,119,마침내,cuối cùng,
23663,119,임금,vua,
23664,119,섬기다,"cung phụng, phục dịch",
23665,119,충신,trung thần,
23666,119,타락,"sự thoái hóa, sự biến chất",
23667,119,집단,"tập thể, nhóm",
23668,119,갈라지다,"bị rạn, bị nứt ",
23669,119,제안하다,"đề nghị, kiến nghị",
23670,119,거부하다,"từ chối, khước từ",
23671,119,죽임을 당하다,bị giết chết,
23672,119,핏자국,vết máu ,
