ID,LessonID,Word,vi,en
20401,103,이익,Lợi ích,Benefit
20402,103,주장,sự chủ trương,contention
20403,103,표출하다,"biểu lộ, thể hiện","manifest, express"
20404,103,펼치다,"bày ra, mở ra, tạo nên, mở rộng, thể hiện","open, create, expand, express"
20405,103,갈등,sự mâu thuẫn,inconsistency
20406,103,불가피하다,"không tránh được, bất khả kháng","inevitable, force majeure"
20407,103,제대로,"một cách bài bản, một cách tử tế","methodically, kindly"
20408,103,혼란스럽다,hỗn loạn,chaotic
20409,103,수많다,vô số,countless
20410,103,피해를 입다,bị thiệt hại,damage
20411,103,받아들이다,tiếp nhận,receive
20412,103,조정하다,điều chỉnh,adjusted
20413,103,일상적,mang tính thường nhật,everyday
20414,103,정치인,chính trị gia,Politicians
20415,103,상대로,"chống lại, đối đầu","against, confrontation"
20416,103,실현하다,thực hiện,perform
20417,103,나서다,"đứng ra, xen vào","stand out, interject"
20418,103,귀를 기울이다,lắng nghe,listen
20419,103,지혜,trí tuệ,wisdom
20420,103,구성원,thành viên,member
20421,103,떠오르다,nổi lên,rise
20422,103,층간소음,tiếng ồn giữa tầng,noise between floors
20423,103,분쟁,sự phân tranh,contention
20424,103,해소,sự hủy bỏ,cancellation
20425,103,중재하다,hòa giải,reconcile
20426,103,상충되다,bị xung khắc,conflict
20427,103,이해관계,"quan hệ lợi hại, quan hệ lợi ích",beneficial relations
20428,103,꼽히다,"thuộc vào, được xếp vào","belongs to, is classified"
20429,103,다툼,"sự cãi nhau, sự tranh đấu",quarrel. quarrel
20430,103,불만,sự bất mãn,chagrin
20431,103,제기되다,"được nêu ra, được đề xuất","yet, proposed"
20432,103,규정,quy định,regulations
20433,103,측정하다,đo lường,measure
20434,103,매트 설치,Lặp đặt tấm thảm nệm,Repeating mattress covers
20435,103,슬리퍼 착용,mang dép đi trong nhà,wear slippers
20436,103,자제,"sự kìm chế, sự tự chủ","restraint, self-control"
20437,103,제시하다,"đưa ra, nộp","launched, filed"
20438,103,관계자,"người có liên quan, người có phận sự","Related persons, duty persons"
20439,103,불리다,"bị gọi, được gọi","called, called"
20440,103,대변하다,"nói thay, đại diện phát ngôn","say instead, representative spokesman"
20441,103,정당,chính đảng,political party
20442,103,출마하다,ra ứng cử,stand for election
20443,103,집회,"cuộc mít ting, cuộc tụ hội",convergence
20444,103,시위,sự biểu tình,demonstration
20445,103,거리 행진,diễu hành trên phố,march on the street
20446,103,촛불 집회,biểu tình nến,candle demonstration
20447,103,온건하다,ôn hòa,mild
20448,103,접하다,"tiếp nhận, tiếp cận","reception, approach"
20449,103,활용하다,"vận dụng, ứng dụng","manipulation, application"
20450,103,추가,sự bổ sung,additions
20451,103,설치하다,"thiết lập, lắp đặt","set up, install"
20452,103,위치하다,"tọa lạc, năm ở vị trí","located, year in position"
20453,103,오가다,qua lại,back and forth
20454,103,신체,"thân thể, cơ thể người","body, body"
20455,103,운반하다,"vận chuyển, chở",transportation and transportation
20456,103,결성되다,được thành lập,established
20457,103,기자회견,họp báo,Press Conference
20458,103,필요성,tính thiết yếu,essentiality
20459,103,받아들이다,"tiếp nhận, tiếp thu",receive
20460,103,약자,"người yếu, kẻ yếu",weak people
20461,103,강화하다,tăng cường,increase
20462,103,밝히다,làm rõ,clarify
