ID,LessonID,Word,vi,en
18401,93,차리다,dọn bàn ăn,Set up
18402,93,숟가락,"muỗng, thìa",Spoon
18403,93,젓가락,đũa,chopsticks
18404,93,영양소,chất dinh dưỡng,nutrient
18405,93,고루,"đều, tất cả",Even
18406,93,섭취하다,hấp thụ,intake
18407,93,유지하다,"duy trì, giữ gìn",maintain
18408,93,주식,"món chính, lương thực chính",stock
18409,93,짓다,Xây,build
18410,93,상,bàn,Table
18411,93,흔히,thường hay,Often
18412,93,양,lượng,amount
18413,93,김치를 담그다,muối kim chi,Soak kimchi
18414,93,저장하다,"lưu trữ, tích trữ",save
18415,93,발효음식 ,thức ăn lên men ,Fermented food
18416,93,장류 ,các loại tương,Enteric
18417,93,멸치젓,mắm cá cơm ,Anchovy
18418,93,젓갈류,các loại mắm ,Salted fish
18419,93,등을 들 수 있다,có thể lấy ví dụ như…,Example
18420,93,즐겨 ,"thích, thường ",enjoy it
18421,93,주재료,"nguyên liệu chính, nguyên liệu chủ yếu",Main material
18422,93,제사 ,"cúng giỗ, cúng lễ",sacrifice
18423,93,로 여겨지다,được xem là…,Be regarded as
18424,93,바라보다,nhìn thẳng,Look at
18425,93,남향집,nhà hướng nam,South facing house
18426,93,선호하다,"ưa chuộng, ưa thích.",prefer
18427,93,뚜렷하다,"rõ ràng, rõ rệt",Clear
18428,93,맞추다,làm cho phù hợp,adjust
18429,93,고유,"đặc trưng vốn có, cái vốn có",inherence
18430,93,장치,"sự trang bị, trang thiết bị",Device
18431,93,더위 ,"cái nóng, sự nóng",hot
18432,93,피하다,"tránh, né tránh  ",avoid
18433,93,지붕,mái nhà ,roof
18434,93,기와집 ,nhà mái ngói,Tile house
18435,93,초가집 ,nhà tranh,Thatched house
18436,93,추수하다,thu hoạch (vào mùa thu),Harvest
18437,93,볏짚,rơm rạ,Rice straw
18438,93,얹다,lợp,put on
18439,93,서민,"dân thường, tầng lớp người dân nghèo",people
18440,93,흙 ,đất,soil
18441,93,굽다,"nướng, đốt, nung.",bake
18442,93,구운 기와,ngói nung,Grilled roof tiles
18443,93,양반,quý tộc,Man
18444,93,전해지다,được lưu truyền,Spread
18445,93,저고리,1 loại áo ngắn thuộc trang phục Hanbok,Jeogori
18446,93,외출하다,đi ra ngoài,go out
18447,93,두루마기,áo khoác ngoài truyền thống của đàn ông Hàn,Scroll
18448,93,장옷,áo dài truyền thống che mặt hoặc che toàn thân của phụ nữ Hàn,Long clothes
18449,93,넉넉하다,"đủ, vừa vặn, rộng rãi",Enough
18450,93,버선,tất truyền thống ,Tabi
18451,93,삼베 ,vải gai,Burlap
18452,93,모시 ,vải gai,Ramie
18453,93,비단 ,vải lụa,silks
18454,93,솜,bông,cotton
18455,93,일상 ,cuộc sống thường nhật,daily life
18456,93,비추다,xem xét đối chiếu,irradiate
18457,93,다소,ít nhiều,a little
18458,93,번거롭다,"rắc rối, phiền hà",Cumbersome
18459,93,개량하다,cải thiện,Improve
18460,93,꾸준하다,"liên tục, bền bỉ",Steady
