ID,LessonID,Word,vi,en
17001,86,닌간다운 삶,Cuộc sống đúng nghĩa,Life
17002,86,누리다,Tận hưởng,enjoy
17003,86,공공부조,"Trợ cấp công cộng, hỗ trợ công cộng",Public assistance
17004,86,대비하다,"So sánh, đối phó, phòng bị",prepare
17005,86,상황,"Tình hình, tình huống, hoàn cảnh",situation
17006,86,건강보험,"Bảo hiểm sức khỏe,",Health Insurance
17007,86,고용보험,"Bảo hiểm thất nghiệp,",Employment Insurance
17008,86,국민연금,Trợ cấp hưu trí,National Pension
17009,86,산업재해보상보험,Bảo hiểm bồi thường tai nạn lao động ,Industrial Accident Compensation Insurance
17010,86,해고되다,"Bị sa thải, bị đuổi việc",Get fired
17011,86,금전적,Mang tính tiền bạc,Monetary
17012,86,보상받다,Được bồi thường,Be rewarded
17013,86,지방자치단체,Chính quyền địa phương,Local government
17014,86,최저생계비,Phí sinh hoạt tối thiểu,Minimum cost of living
17015,86,한부모가정복지,Phúc lợi cho gia đình có bố mẹ đơn thân,Single-parent family welfare
17016,86,재활,Sự phục hồi chức năng/ hoạt động trở lại,Rehabilitation
17017,86,직업 훈련,"Huấn luyện nghề, dạy nghề",Job training
17018,86,질병,bệnh tật,disease
17019,86,부상,bị thương,injury
17020,86,이바지하다,"đóng góp, cống hiến",Contribute
17021,86,증진,tăng cường,increase
17022,86,창업,khởi nghiệp,founded
17023,86,촉진,"sự thúc đẩy, sự xúc tiến",Promotion
17024,86,업무상 재해를 입다,bị tai nạn nghề nghiệp,Suffer a business disaster
17025,86,해당하다,"Phù hợp, thỏa mãn",Correspond
17026,86,혜택,"Sự ưu đãi, sự đãi ngộ ",Benefits
17027,86,미성년,Tuổi vị thành niên,minority
17028,86,앞두다,"Trước, đứng trước",Ahead
17029,86,산모,Sản phụ,Mother
17030,86,학업,Việc học,study
17031,86,법무부,bộ tư pháp,Ministry of Justice
17032,86,운영하다,"vận hành , điều hành, hoạt động",operate
17033,86,여성가족부,Bộ bình đẳng giới,Ministry of Gender Equality and Family
17034,86,이주여성긴급지원센터 ,trung tâm hỗ trợ khẩn cấp phụ nữ nhập cư,Migrant Women Emergency Support Center
